                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97919,                 3.4647,                 1.3565,                0.90178,                0.51846,                0.72666,                0.49377,                 1.5461,                 1.6411,                 1.3288,                      0,                      0,                      0
                      2,                 1.3629,                  2.846,                 1.6624,                0.90608,                0.52358,                0.73834,                0.51483,                   1.55,                 1.6202,                 1.3236,              7.973e-07,              7.973e-07,              7.973e-07
                      3,                 1.2942,                  3.584,                 1.6977,                0.90747,                0.52507,                0.72882,                0.52042,                 1.5324,                  1.603,                 1.3103,              8.092e-07,              8.092e-07,              8.092e-07
