                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0956,                 1.3647,                 1.2022,                0.64716,                0.51794,                0.59444,                0.44119,                 1.0961,                 1.1488,                 1.1362,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 1.2158,                 1.4434,                 1.2677,                0.66595,                0.53686,                0.61663,                0.45781,                  1.085,                 1.1063,                 1.1294,              1.196e-05,              1.196e-05,              1.196e-05
                      3,                 1.1923,                 1.3418,                 1.2418,                0.66808,                  0.551,                0.62576,                  0.466,                 1.0734,                 1.0894,                 1.1209,             9.3058e-06,             9.3058e-06,             9.3058e-06
